mana man kagam	мой друг мне писал
digette mimbi mimbi di ujutsiʔ bar saʔmeluʔpi	потом он ходил ходил и провалился ногой 
kuliat din iʔbelaʔbe iʔgo akta	увидел что там много денег лежит
digette buze shobi kubi akta i deʔpi mande	потом пришёл мужик увидел деньги и принёс домой
digette mande no miʔnibeʔ kudaj mibi	потом говорит ну нам бог дал
no kudaj ne kudaj di miʔnibeʔ kubi poʔto	ну бог не бог а для нас козёл нашёл
dim nada toze amzitte mizitte	надо его тоже кормить
dizeng dim toze 	они его тоже берегли
i badebiʔi boste bar	и кормили
digette izemnuʔpi di poʔto i kulambi	потом козёл заболел и умер
nada dim bareʔsitte	надо его выбросить
ne nada nada kanzitte abeste	не надо надо к священнику пойти
da jaksheng enzitte	и похоронить его по-хорошему
digette kambi abeste abes mande shindi poʔto	потом он пошёл к священнику священник говорит
nujleʔbe	схватил мужика
i davaj dim munorzitte	и давай бить его
dim  jakshe ibi	он был хорошим
tanan akta mabi shide bieʔ	он тебе денег оставил двадцать 
digette no kanaʔ	потом говорит ну пойдём
imbi tan mana ej norbebiel	почему ты мне раньше не сказал
di kambi kanaʔ ami bashka abesde diber kambi	он пошёл иди к другому… к другому священнику он туда пошёл
diʔne toze norbebi	тому тоже сказал
di toze dim kabarbi da munorluʔpi	тот тоже схватил его и ударил
iʔ munoraʔ di tanan akta mabi	не бей  он тебе денег оставил
shide bieʔ akta tanan mabi	двадцать денег тебе оставил
digette di imbi tan ej mambial	тогда тот  что ты не сказал
kanaʔ pushaj salej da kuzurlej konggoroziʔ	иди  пусть лезет на и звонит в колокол
di diber shobi	он туда пошёл
di toze dim davaj 	тот тоже его начал 
tanan bieʔ sumna mabi	он тебе пятнадцать рублей оставил
di poʔto	этот козёл
imbi tan mana ej norbebiel	что ты мне не сказал
digette suʔmeluʔpi tegermaʔde i davaj konggoroziʔ bar kuzurzitte	потом запрыгнул на и стал в колокол звонить
digette kambiʔi	потом они пришли
di poʔto kumbiʔi	принесли козла
i dune kamnebiʔi	и в землю 
i ishsho urgo abes timluʔpi	и ещё главный священник узнал 
i kashtebi di buzem i abeste	и вызвал этого человека и священника
imbi shiʔ poʔto embileʔ dune	почему вы козла похоронили
da di jakshe ibi	да он был хороший
tanan iʔgo akta maluʔpi	тебе много денег оставил
digette ibi aktabe i dizeng oʔlubi	тогда он взял деньги и отпустил их
kabarlej	останови 
tujung sejene norbebie tan sageshshet igel	тетерев сказал глухарю
nen piʔmeende tulinde siktoleʔ kulel	задохнёшься подвешенный к ремню на женских штанах
man toru inen toru kunda tora toʔlaʔ kunnim	я буду бурую морду гнедого коня
oniʔ kuza kambi dijene	один человек пошёл в тайгу
xatel kuʔsitte poʔto	он хотел козу убить
milleʔbi milleʔbi ej kuʔpi	ходил ходил не убил
i parluʔpi mande imbide ej deʔpi	и вернулся домой ничего не принёс
net kudonzlaʔbe imbi imbide ej kuʔpial da	его жена ругается почему ты никого не убил-то
naga imbide ej kuʔpiam dareʔ imbide ej deʔpiem shobiam maʔni	нет никого не убил ничего не принёс пришёл домой
kabarlej	хватит
digette di surerbi di bazoʔ kambi	потом жена отправила он опять пошёл
mimbi mimbi oniʔ poʔto kuʔpi i deʔpi mande	шёл шёл убил козу и принёс домой
mande uja deʔpiem	говорит я принёс мясо
amoraʔ tuj	ешь теперь
da iʔ kudonzaʔ	и не ругайся
kabarlej	хватит
amnobiʔi nuke buze	жили муж с женой
nuken ibi koʔbdot	у жены была дочь
i buzen ibi koʔbdot	и у мужа была дочь
di nuke buzen koʔbdobe ej ajirbi	жена не любила дочь мужа
munorbi kudonzlaʔpi	она била ее ругала
a boste koʔbdobe uge ajirlaʔbe	а свою дочь всегда жалеет
ulut bar duʔlaʔbe	всегда гладит её по голове
digette buzene mande kunde bosle koʔbdo	она говорит мужу
di mana imbide ej alia	она для меня ничего не делает
di inem kurerbi koʔbdobe amnolbi	он лошадь запряг дочь посадил
kunnambi dijene	увёз её в лес
bareʔluʔpi  sire urgo	оставил её около дерева снега много
di amnolaʔbe kannalaʔbe	она сидит замёрзла
shishege shonega	мороз идёт
pageʔ pane suʔmileʔbe	прыгает с дерева на дерево
mande diʔne tanan shishege	говорит ей
dok mana ej shishege ishsho	нет мне ещё не холодно
shonega	идёт
shishege tanan	холодно тебе
ej shishege eju	не холодно тепло
a boste dabakterzitte ej molia	а сама говорить не может
digette bazoʔ surarlaʔbe	опять спрашивает
ej shishege	не холодно
bosten shiket di bar kannambi	у нее язык весь замёрз
digette di dim adejalaziʔ shurbi	тогда он её одеялом
palto sherbi	укрыл пальто
di ejumneʔpi	она согрелась
digette nuke purleʔbe blineʔi	а женщина печёт блины
kanaʔ koʔbdo kulambi dette	 иди девушка умерла привези её
digette men tolde jilgende amnolaʔbe	а собака сидит под столом
boste mallaʔbe buzen koʔbdot shonega	и говорит
iʔgo bar akta detleʔbe olda iʔgo	много денег несёт много одежды
di mande dare iʔ manaʔ	говорит не говори так
buzen koʔbdobe baragen detleʔbe	дочь мужчины в мешке несут
a men uge diʔne dare mallaʔbe	а собака все так же говорит
digette buze shobi	муж пришёл
karzina akta deʔpi	корзину денег принес
bar olda iʔgo	одежды много
koʔbdot turane shobi	его дочь в дом вошла
digette di nuke kunde man koʔbdobe	тогда женщина 
di buze ine	муж лошадь запряг
kumbi	увёз 
di koʔbdobe din ze maluʔpi i boste shobi	её дочь там же оставил и сам вернулся 
digette bazoʔ shishege diʔne shonega	опять мороз к ней пришел
di bar shishege tanan	 холодно тебе
shishege kannambiam iʔ shoʔ mana	мне холодно я замерзаю не подходи ко мне
di bazoʔ shonega	он опять идет
shishege tanan	холодно тебе
shishege	холодно
davaj kudolzitte dim	стала его ругать
digette ishsho surarbi	тот опять спросил
di bazoʔ kudolbi vsaka mut-mat kudolbi	та опять на него заругалась по-всякому
di dim bar kandebi	он заморозил её
i kulambi bar pa dirgit molambi	и она умерла стала как дерево
digette erten buze uʔbdebi	утром мужчина проснулся
kanaʔ man koʔbdo ileʔ	иди привези мою дочь
di kambi	он поехал
men mande nuken koʔbdobe detleʔbe barane bar	собака говорит он женщины дочь в мешке несет
kulambi	она умерла
digette dare iʔ manaʔ	 не говори так
a manaʔ nuken koʔbdot di uge dare	скажи женщины дочь так же как та 
digette buze shonega	муж приехал
